age,body_type,diet,drinks,drugs,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
22.0,fit,other,2,0,67.0,-1.0,student,2012-06-15-22-56,california,no_kids,straight,like_boths,catholicism,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), italian (okay)",single
30.0,fit,other,2,0,69.0,-1.0,executive / management,2012-06-28-15-22,california,no_kids,straight,like_boths,agnosticism,m,sagittarius but it doesn&rsquo;t matter,no,"english, spanish (poorly)",single
30.0,fit,halal,0,0,71.0,-1.0,education / academia,2012-05-17-20-23,california,no_kids,straight,like_boths,atheism,m,aquarius but it doesn&rsquo;t matter,no,english,single
33.0,fit,other,2,1,73.0,-1.0,artistic / musical / writer,2012-06-29-21-32,other,no_kids,straight,like_cats,other,m,scorpio and it matters a lot,sometimes,english,single
28.0,fit,other,1,0,70.0,-1.0,medicine / health,2012-06-26-01-27,california,no_kids,straight,like_dogs,agnosticism,m,gemini and it&rsquo;s fun to think about,no,english,single
22.0,fit,other,2,0,72.0,-1.0,clerical / administrative,2012-06-10-01-37,california,no_kids,straight,like_dogs,catholicism,m,leo and it&rsquo;s fun to think about,trying to quit,"english (fluently), tagalog (fluently), japanese (okay)",single
22.0,average,other,2,0,67.0,-1.0,other,2012-06-25-23-06,california,no_kids,straight,like_dogs,agnosticism,m,leo and it&rsquo;s fun to think about,no,"english (fluently), other (fluently), thai (poorly)",single
30.0,fit,other,2,0,74.0,-1.0,other,2012-06-19-01-22,california,no_kids,straight,like_boths,atheism,m,,no,"english, spanish (poorly)",single
32.0,fit,other,2,1,68.0,-1.0,other,2012-06-29-07-01,california,no_kids,straight,like_boths,agnosticism,m,leo but it doesn&rsquo;t matter,no,english,single
27.0,average,other,2,0,64.0,-1.0,other,2011-11-10-13-15,california,no_kids,straight,like_boths,agnosticism,f,gemini,trying to quit,"english, spanish (poorly)",single
27.0,fit,other,2,0,72.0,-1.0,science / tech / engineering,2012-06-27-23-16,california,no_kids,straight,like_dogs,atheism,m,,no,english,single
38.0,average,other,2,0,67.0,-1.0,computer / hardware / software,2012-05-25-00-04,california,no_kids,straight,like_boths,christianity,f,libra,no,english,single
20.0,average,other,2,0,60.0,-1.0,hospitality / travel,2012-06-30-00-00,california,no_kids,straight,like_boths,agnosticism,f,cancer,no,"english (fluently), spanish (fluently)",single
27.0,fit,other,2,0,69.0,-1.0,entertainment / media,2012-06-24-22-10,california,no_kids,straight,like_boths,atheism,m,sagittarius but it doesn&rsquo;t matter,when drinking,english,single
26.0,fit,other,2,0,69.0,-1.0,banking / financial / real estate,2012-06-27-00-32,california,no_kids,straight,like_boths,agnosticism,m,,,"english, russian",single
32.0,fit,other,2,0,69.0,-1.0,science / tech / engineering,2012-06-28-09-28,california,no_kids,straight,like_dogs,buddhism,m,cancer and it&rsquo;s fun to think about,when drinking,"english (fluently), spanish (fluently)",single
25.0,fit,other,2,0,69.0,-1.0,other,2012-06-28-12-57,california,no_kids,bisexual,like_boths,agnosticism,m,libra and it&rsquo;s fun to think about,,"english (fluently), spanish (poorly)",single
27.0,average,other,2,0,63.0,-1.0,entertainment / media,2012-06-29-17-20,california,no_kids,straight,like_boths,agnosticism,f,libra,,english,single
35.0,fit,other,2,0,74.0,-1.0,computer / hardware / software,2012-06-30-00-01,california,no_kids,straight,like_boths,agnosticism,m,,no,english,single
30.0,average,other,3,0,76.0,-1.0,computer / hardware / software,2012-06-29-22-56,california,no_kids,straight,like_cats,agnosticism,m,,no,"english (fluently), dutch (fluently), lisp (fluently), spanish (okay), german (okay)",single
35.0,fit,other,2,0,72.0,-1.0,other,2012-06-30-00-01,california,no_kids,straight,like_boths,agnosticism,m,pisces,no,english,single
30.0,average,other,3,1,75.0,-1.0,artistic / musical / writer,2012-03-19-17-41,other,no_kids,straight,like_boths,other but not too serious about it,m,gemini but it doesn&rsquo;t matter,no,"english, indonesian (fluently)",single
40.0,fit,other,2,0,71.0,60000.0,construction / craftsmanship,2012-06-30-00-01,california,no_kids,straight,like_dogs,agnosticism,m,gemini and it&rsquo;s fun to think about,no,"english (okay), french (poorly), spanish (poorly), c++ (okay)",single
29.0,average,other,2,1,66.0,-1.0,other,2012-06-10-13-28,other,no_kids,bisexual,like_cats,other,f,aquarius and it&rsquo;s fun to think about,no,"english, spanish (poorly), portuguese (poorly)",single
27.0,average,other,2,0,69.0,-1.0,education / academia,2012-06-28-18-09,california,no_kids,straight,like_boths,catholicism,m,aquarius,,"english (fluently), tagalog (fluently)",single
27.0,fit,other,2,0,73.0,-1.0,other,2012-06-29-07-09,california,no_kids,straight,like_boths,agnosticism,m,,,"english (fluently), swedish (fluently), french (poorly)",single
28.0,average,other,3,1,70.0,-1.0,artistic / musical / writer,2012-06-25-15-06,california,no_kids,straight,like_boths,agnosticism,m,libra,no,english (okay),single
31.0,fit,other,2,1,67.0,1000000.0,artistic / musical / writer,2012-06-30-00-01,california,no_kids,bisexual,like_boths,agnosticism,f,,no,"english (fluently), belarusan, gujarati, lisp, russian (fluently)",single
26.0,fit,other,2,0,66.0,-1.0,science / tech / engineering,2012-06-28-07-59,other,no_kids,straight,like_boths,other but not too serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
33.0,fit,other,3,1,66.0,-1.0,artistic / musical / writer,2012-06-27-08-41,california,no_kids,gay,like_boths,agnosticism,f,taurus,no,"english (fluently), spanish (okay)",single
38.0,fit,other,2,0,65.0,-1.0,other,2012-03-23-22-05,california,kid,gay,like_dogs,agnosticism,f,taurus,no,english,single
31.0,average,other,2,0,69.0,-1.0,science / tech / engineering,2012-06-23-11-09,california,no_kids,straight,like_boths,agnosticism,m,gemini and it&rsquo;s fun to think about,no,"english, japanese (poorly)",single
36.0,fit,other,2,0,69.0,-1.0,computer / hardware / software,2012-06-20-14-54,california,no_kids,straight,like_dogs,agnosticism,m,,,english,single
33.0,fit,other,1,0,69.0,-1.0,computer / hardware / software,2012-06-25-04-53,california,no_kids,straight,like_boths,atheism,m,,no,english,single
33.0,fit,other,2,0,70.0,-1.0,medicine / health,2012-06-29-16-04,california,no_kids,gay,like_boths,agnosticism,m,pisces and it&rsquo;s fun to think about,no,"english, farsi (fluently)",single
26.0,fit,other,2,0,71.0,-1.0,student,2012-06-29-17-24,california,no_kids,straight,like_boths,atheism,m,sagittarius,no,"english (fluently), french (fluently), spanish (poorly)",single
21.0,fit,other,2,0,72.0,-1.0,computer / hardware / software,2012-06-29-22-10,california,no_kids,straight,like_boths,buddhism,m,,when drinking,english,single
22.0,fit,other,2,1,70.0,-1.0,student,2011-10-13-03-10,california,no_kids,straight,like_boths,agnosticism,m,pisces,sometimes,english,single
31.0,average,other,2,0,71.0,-1.0,other,2012-06-05-13-04,california,no_kids,straight,like_boths,agnosticism,m,libra but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (poorly)",single
31.0,fit,other,2,0,67.0,-1.0,computer / hardware / software,2012-05-07-02-46,california,no_kids,straight,like_dogs,catholicism,m,gemini but it doesn&rsquo;t matter,no,"english, tagalog (poorly), c++ (okay)",seeing someone
35.0,fit,other,2,0,75.0,-1.0,other,2012-06-29-20-45,california,no_kids,straight,like_boths,agnosticism,m,cancer,no,"english, spanish (poorly)",single
31.0,fit,other,2,1,70.0,-1.0,rather not say,2012-06-29-20-38,california,no_kids,straight,like_boths,agnosticism,m,cancer and it&rsquo;s fun to think about,when drinking,english,single
28.0,average,other,2,0,67.0,-1.0,education / academia,2012-06-28-21-28,other,no_kids,straight,like_dogs,other and laughing about it,f,gemini and it&rsquo;s fun to think about,sometimes,"english, spanish (okay)",single
28.0,fit,other,2,0,72.0,-1.0,political / government,2012-06-27-09-14,california,no_kids,straight,like_boths,agnosticism,m,virgo but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single
29.0,fit,other,2,0,68.0,-1.0,science / tech / engineering,2012-06-29-09-47,california,no_kids,straight,like_boths,judaism,m,,no,"english, spanish (poorly)",single
22.0,fit,other,1,0,65.0,20000.0,education / academia,2012-06-30-00-02,california,no_kids,straight,like_boths,buddhism,m,virgo but it doesn&rsquo;t matter,no,english (fluently),single
30.0,fit,other,1,1,66.0,-1.0,student,2012-05-28-14-45,other,no_kids,straight,like_boths,other and somewhat serious about it,f,aries and it&rsquo;s fun to think about,sometimes,english (fluently),single
31.0,average,other,2,0,69.0,-1.0,medicine / health,2012-05-09-16-41,other,no_kids,bisexual,like_boths,other and very serious about it,f,virgo,sometimes,english (fluently),single
29.0,fit,other,2,1,76.0,-1.0,other,2012-04-26-07-55,california,no_kids,gay,like_boths,agnosticism,m,scorpio and it&rsquo;s fun to think about,no,"english (fluently), italian (poorly)",single
25.0,average,other,1,0,62.0,-1.0,science / tech / engineering,2012-06-28-17-28,california,no_kids,straight,like_boths,agnosticism,f,pisces,no,english,single
33.0,fit,other,2,0,67.0,-1.0,entertainment / media,2012-02-15-06-10,california,no_kids,straight,like_dogs,agnosticism,f,gemini and it&rsquo;s fun to think about,no,"english, spanish (okay), italian (poorly), c++",single
35.0,fit,other,2,1,73.0,150000.0,artistic / musical / writer,2012-06-29-00-25,california,no_kids,straight,like_boths,agnosticism,m,pisces and it&rsquo;s fun to think about,no,"english (poorly), spanish (poorly)",single
31.0,average,other,2,0,61.0,50000.0,law / legal services,2012-06-29-08-00,california,no_kids,straight,like_boths,hinduism,f,libra and it&rsquo;s fun to think about,no,"english (fluently), hindi (okay), spanish (poorly), french (poorly), sanskrit (poorly)",single
28.0,fit,other,2,0,72.0,-1.0,education / academia,2012-06-28-20-44,california,no_kids,straight,like_boths,agnosticism,m,sagittarius but it doesn&rsquo;t matter,,"english (fluently), french (okay), german (poorly)",single
29.0,average,halal,2,0,67.0,-1.0,rather not say,2012-06-28-22-21,california,no_kids,bisexual,like_boths,agnosticism,f,gemini,,"english (fluently), spanish (poorly)",available
26.0,fit,other,3,1,72.0,-1.0,other,2012-06-28-22-08,california,no_kids,straight,like_dogs,agnosticism,m,capricorn but it doesn&rsquo;t matter,no,english,single
25.0,average,other,2,0,65.0,-1.0,other,2011-10-20-19-56,california,no_kids,bisexual,like_boths,agnosticism,f,leo and it&rsquo;s fun to think about,no,english (fluently),seeing someone
34.0,average,other,2,0,67.0,-1.0,sales / marketing / biz dev,2012-06-26-20-31,california,no_kids,straight,like_boths,agnosticism,f,,no,"english, spanish, italian",single
21.0,fit,other,1,0,71.0,20000.0,entertainment / media,2011-12-20-12-29,california,no_kids,straight,like_boths,catholicism,m,,no,english,single
28.0,fit,other,3,0,67.0,-1.0,executive / management,2012-06-24-00-39,california,no_kids,straight,like_boths,atheism,f,cancer but it doesn&rsquo;t matter,no,"english (fluently), french (fluently)",single
31.0,average,other,2,0,69.0,-1.0,other,2012-06-29-14-02,california,no_kids,gay,like_boths,atheism,m,,no,"english, german (fluently), spanish (okay)",single
34.0,fit,other,2,0,69.0,100000.0,executive / management,2012-06-28-22-24,california,no_kids,straight,like_boths,agnosticism,m,,no,"english, other (poorly)",single
32.0,average,other,2,0,64.0,-1.0,science / tech / engineering,2012-02-25-22-53,california,no_kids,gay,like_boths,agnosticism,f,pisces and it&rsquo;s fun to think about,no,"english (fluently), japanese (okay), spanish (poorly)",single
30.0,fit,other,2,0,73.0,-1.0,science / tech / engineering,2011-12-25-22-08,california,no_kids,straight,like_dogs,agnosticism,m,gemini but it doesn&rsquo;t matter,no,english,single
28.0,average,other,2,0,68.0,-1.0,other,2012-04-21-22-07,california,no_kids,straight,like_cats,atheism,m,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), portuguese (poorly)",single
40.0,fit,other,2,0,66.0,-1.0,other,2012-06-06-21-05,california,no_kids,straight,like_boths,agnosticism,f,taurus,no,"english (fluently), spanish (okay)",single
27.0,average,other,3,0,61.0,-1.0,sales / marketing / biz dev,2012-06-26-22-44,california,no_kids,straight,like_boths,agnosticism,f,aries and it&rsquo;s fun to think about,no,"english, spanish (poorly)",single
43.0,average,other,2,0,71.0,-1.0,law / legal services,2012-06-29-09-18,california,no_kids,straight,like_boths,agnosticism,m,,no,"english, chinese (poorly), spanish (okay)",single
37.0,average,other,2,0,64.0,-1.0,other,2012-03-30-08-10,other,no_kids,straight,like_boths,other but not too serious about it,f,,no,english,single
24.0,average,other,2,0,74.0,-1.0,sales / marketing / biz dev,2012-01-27-18-35,california,no_kids,straight,like_boths,agnosticism,m,cancer,yes,english,single
29.0,average,other,2,0,74.0,-1.0,science / tech / engineering,2011-10-27-01-12,california,no_kids,straight,like_boths,catholicism,m,scorpio,,english,single
29.0,average,other,2,1,67.0,50000.0,medicine / health,2011-07-27-20-01,california,no_kids,straight,like_boths,agnosticism,f,capricorn and it&rsquo;s fun to think about,,english,available
28.0,fit,other,2,0,69.0,-1.0,computer / hardware / software,2012-06-29-22-43,california,no_kids,straight,like_dogs,agnosticism,m,leo,no,"english (fluently), spanish (okay)",single
29.0,fit,other,2,1,67.0,40000.0,artistic / musical / writer,2012-05-28-15-18,california,no_kids,straight,like_boths,agnosticism,m,libra,no,english (fluently),single
25.0,fit,other,2,0,78.0,80000.0,sales / marketing / biz dev,2012-06-26-22-52,california,no_kids,straight,like_boths,catholicism,m,aries but it doesn&rsquo;t matter,no,"english (fluently), french (okay)",single
34.0,fit,other,4,0,75.0,-1.0,hospitality / travel,2012-06-29-20-28,other,no_kids,straight,like_boths,other and very serious about it,m,aries,no,"english (poorly), german (poorly), spanish (poorly), other (fluently)",single
39.0,fit,other,2,0,70.0,-1.0,other,2012-05-16-22-46,california,no_kids,straight,like_boths,agnosticism,m,,no,"english, chinese",single
31.0,average,other,2,1,66.0,-1.0,executive / management,2012-06-29-06-59,california,no_kids,straight,like_dogs,atheism,f,pisces,no,english (fluently),single
46.0,average,other,2,0,72.0,-1.0,construction / craftsmanship,2012-06-24-21-23,california,kid,straight,like_boths,christianity,m,taurus,no,english,single
38.0,fit,other,2,0,71.0,-1.0,education / academia,2012-06-29-08-52,california,no_kids,straight,like_boths,agnosticism,m,aquarius,no,english,single
30.0,fit,other,2,0,68.0,-1.0,banking / financial / real estate,2012-06-18-22-02,other,no_kids,straight,like_boths,other and very serious about it,m,,no,"english (poorly), afrikaans (fluently), c++ (fluently), khmer (fluently), lisp (okay)",single
41.0,fit,other,2,2,69.0,1000000.0,education / academia,2012-06-28-09-53,california,no_kids,straight,like_boths,agnosticism,m,libra and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), french (poorly)",single
39.0,fit,other,2,1,70.0,100000.0,computer / hardware / software,2012-05-19-18-19,california,no_kids,straight,like_dogs,atheism,m,leo and it&rsquo;s fun to think about,no,english (fluently),single
31.0,fit,other,2,0,63.0,-1.0,other,2012-06-25-19-41,california,no_kids,straight,like_dogs,agnosticism,f,scorpio but it doesn&rsquo;t matter,no,english,single
42.0,fit,other,2,0,65.0,-1.0,education / academia,2012-06-29-22-35,california,kid,straight,like_dogs,judaism,f,aries but it doesn&rsquo;t matter,no,"english (fluently), french (poorly), hebrew (okay), yiddish (poorly)",single
45.0,fit,other,2,0,64.0,-1.0,executive / management,2012-06-24-20-20,california,no_kids,straight,like_dogs,agnosticism,f,aries but it doesn&rsquo;t matter,no,english (fluently),single
21.0,fit,other,1,0,72.0,500000.0,medicine / health,2012-03-17-21-19,california,no_kids,straight,like_dogs,agnosticism,m,aries and it&rsquo;s fun to think about,no,english,single
28.0,average,other,2,0,64.0,-1.0,law / legal services,2012-06-30-00-04,california,no_kids,straight,like_dogs,agnosticism,f,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly), tagalog (poorly)",single
29.0,fit,other,2,0,66.0,-1.0,other,2012-06-29-19-06,california,no_kids,straight,like_boths,christianity,m,,no,english,single
36.0,average,other,2,0,68.0,-1.0,education / academia,2012-06-24-23-44,california,no_kids,straight,like_boths,agnosticism,m,virgo,no,"english, spanish",single
28.0,fit,other,2,0,71.0,-1.0,education / academia,2012-06-29-22-07,california,no_kids,straight,like_dogs,agnosticism,m,,no,"english (fluently), spanish (fluently)",single
24.0,fit,other,2,0,74.0,-1.0,other,2012-06-29-11-16,california,no_kids,straight,like_boths,agnosticism,m,,,english,single
23.0,average,other,1,0,66.0,20000.0,other,2012-06-28-18-40,other,kid,straight,like_boths,other,f,capricorn and it&rsquo;s fun to think about,when drinking,english (fluently),single
36.0,fit,other,3,1,70.0,-1.0,science / tech / engineering,2012-03-22-16-56,california,no_kids,straight,like_boths,agnosticism,m,aries but it doesn&rsquo;t matter,no,"english (fluently), c++ (okay), french (poorly)",seeing someone
35.0,fit,other,2,0,72.0,-1.0,other,2012-06-24-18-46,california,no_kids,straight,like_boths,atheism,m,aquarius,when drinking,english,single
18.0,average,other,2,0,68.0,-1.0,other,2012-05-24-23-07,california,no_kids,straight,like_boths,agnosticism,m,,,"english (fluently), sign language (okay), hindi (fluently)",single
55.0,fit,other,0,0,67.0,-1.0,construction / craftsmanship,2012-02-09-23-34,other,kid,straight,like_boths,other but not too serious about it,m,leo,no,"english (fluently), spanish (fluently), japanese (poorly)",single
21.0,average,other,0,0,65.0,-1.0,other,2012-06-29-13-31,other,no_kids,straight,like_boths,other and somewhat serious about it,f,capricorn and it&rsquo;s fun to think about,no,"english (fluently), russian (okay), french (poorly)",single
28.0,fit,other,2,0,66.0,-1.0,student,2012-06-22-02-01,california,no_kids,straight,like_boths,agnosticism,f,scorpio,no,"english (fluently), polish (fluently), spanish (poorly)",seeing someone
24.0,average,other,2,0,71.0,-1.0,computer / hardware / software,2012-06-28-11-06,california,no_kids,straight,like_cats,atheism,m,aquarius but it doesn&rsquo;t matter,no,"english, russian (okay)",single
50.0,fit,other,2,0,75.0,-1.0,unemployed,2012-06-09-23-55,california,kid,straight,like_boths,christianity,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), tagalog (poorly)",single
23.0,fit,other,2,1,66.0,-1.0,artistic / musical / writer,2012-06-15-23-59,california,no_kids,straight,like_boths,agnosticism,m,cancer,trying to quit,"english (fluently), russian (fluently)",single
21.0,fit,other,2,2,70.0,1000000.0,medicine / health,2012-06-29-17-01,california,no_kids,straight,like_dogs,atheism,m,sagittarius and it&rsquo;s fun to think about,sometimes,english,single
27.0,average,other,2,0,62.0,-1.0,medicine / health,2012-06-12-23-51,other,no_kids,bisexual,like_boths,other but not too serious about it,f,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
27.0,fit,other,2,0,68.0,150000.0,science / tech / engineering,2012-02-29-12-08,california,no_kids,straight,like_boths,agnosticism,m,,no,english,single
43.0,average,other,2,0,73.0,-1.0,science / tech / engineering,2012-06-28-00-22,california,no_kids,straight,like_boths,agnosticism,m,virgo but it doesn&rsquo;t matter,no,"english, german (poorly), lisp (fluently), c++ (fluently)",single
27.0,fit,other,2,0,68.0,150000.0,other,2012-06-27-00-15,california,no_kids,straight,like_boths,agnosticism,m,,no,english,available
26.0,average,other,3,0,71.0,-1.0,computer / hardware / software,2012-06-30-00-05,california,no_kids,straight,like_boths,atheism,m,libra,trying to quit,english,single
26.0,average,other,1,0,66.0,-1.0,computer / hardware / software,2012-01-29-01-04,california,no_kids,straight,like_boths,atheism,m,,no,"english (fluently), c++ (okay)",available
30.0,average,other,2,1,69.0,-1.0,other,2012-06-29-22-14,california,no_kids,straight,like_cats,agnosticism,m,gemini but it doesn&rsquo;t matter,yes,english,available
32.0,average,other,2,0,68.0,-1.0,other,2012-05-15-17-48,other,no_kids,straight,like_dogs,other,f,leo and it&rsquo;s fun to think about,trying to quit,"english (okay), german (poorly), spanish (poorly), serbian (poorly)",seeing someone
43.0,average,other,2,0,68.0,-1.0,artistic / musical / writer,2012-06-29-10-30,california,no_kids,bisexual,like_boths,agnosticism,f,libra and it matters a lot,no,"english, spanish (poorly), french (poorly)",single
39.0,average,other,1,0,68.0,-1.0,education / academia,2012-06-12-21-54,california,no_kids,straight,like_dogs,agnosticism,f,,no,english,single
22.0,fit,other,2,0,68.0,-1.0,student,2012-06-30-00-05,california,no_kids,straight,like_boths,atheism,m,,no,"english (fluently), c++ (okay), spanish (okay), lisp (okay)",single
33.0,fit,other,2,0,67.0,-1.0,hospitality / travel,2012-06-29-20-35,california,no_kids,straight,like_boths,agnosticism,f,libra,no,"english (fluently), dutch (okay)",single
24.0,fit,other,2,0,75.0,-1.0,other,2012-06-24-22-19,california,no_kids,straight,like_cats,atheism,m,sagittarius but it doesn&rsquo;t matter,when drinking,english,single
50.0,average,other,3,0,73.0,80000.0,transportation,2012-06-29-21-54,other,no_kids,straight,like_cats,other,m,libra,no,english,single
32.0,average,other,0,0,67.0,-1.0,science / tech / engineering,2012-05-19-09-49,california,no_kids,straight,like_dogs,agnosticism,m,cancer,no,english,seeing someone
23.0,fit,other,1,0,73.0,-1.0,military,2012-06-15-22-10,california,no_kids,straight,like_boths,agnosticism,m,,no,english,single
32.0,fit,other,2,0,62.0,-1.0,other,2012-06-28-21-09,california,no_kids,straight,like_boths,buddhism,f,pisces,no,english,single
59.0,fit,other,2,0,73.0,80000.0,other,2011-08-15-09-32,other,no_kids,straight,like_boths,other,m,libra and it&rsquo;s fun to think about,no,"english (fluently), english",single
36.0,fit,other,3,1,73.0,-1.0,construction / craftsmanship,2012-06-29-20-05,other,no_kids,straight,like_boths,other and somewhat serious about it,m,taurus and it&rsquo;s fun to think about,no,"english, english (fluently)",single
29.0,fit,other,2,0,74.0,-1.0,other,2012-06-29-22-32,california,no_kids,straight,like_boths,agnosticism,m,,no,english,single
39.0,fit,other,2,0,63.0,-1.0,other,2012-06-25-12-28,california,kid,straight,like_boths,agnosticism,f,leo,no,english,single
24.0,fit,other,2,0,67.0,60000.0,computer / hardware / software,2012-06-14-21-30,california,no_kids,straight,like_boths,catholicism,m,scorpio but it doesn&rsquo;t matter,no,english (fluently),single
28.0,average,other,5,2,70.0,-1.0,other,2012-06-07-11-34,california,no_kids,straight,like_boths,atheism,m,sagittarius,yes,english,single
50.0,fit,other,2,0,66.0,80000.0,construction / craftsmanship,2011-12-06-13-38,california,kid,straight,like_dogs,agnosticism,m,,no,english,single
32.0,fit,other,2,0,64.0,-1.0,student,2011-07-19-12-23,california,no_kids,straight,like_dogs,judaism,f,,no,"english (fluently), french (okay)",single
41.0,fit,other,2,0,67.0,-1.0,transportation,2012-05-19-10-47,california,no_kids,straight,like_boths,agnosticism,f,cancer and it&rsquo;s fun to think about,no,english,single
50.0,fit,other,2,0,63.0,-1.0,education / academia,2012-06-29-22-51,california,kid,straight,like_dogs,atheism,f,cancer,no,"english, spanish (okay), german (okay)",single
44.0,average,other,2,0,68.0,-1.0,computer / hardware / software,2012-06-29-22-55,california,no_kids,straight,like_boths,catholicism,m,leo but it doesn&rsquo;t matter,no,english,single
48.0,average,other,2,0,68.0,-1.0,artistic / musical / writer,2012-06-29-19-07,california,no_kids,straight,like_boths,agnosticism,m,aquarius and it&rsquo;s fun to think about,no,"english (fluently), other (okay)",single
24.0,fit,other,2,1,75.0,-1.0,other,2012-02-08-23-21,california,no_kids,bisexual,like_boths,agnosticism,m,leo and it matters a lot,trying to quit,english,available
26.0,fit,other,0,0,73.0,-1.0,sales / marketing / biz dev,2012-06-27-08-19,california,no_kids,straight,like_boths,agnosticism,m,virgo,no,"english (fluently), french (okay)",single
29.0,fit,other,2,0,61.0,-1.0,hospitality / travel,2012-06-26-19-45,california,no_kids,gay,like_boths,agnosticism,f,scorpio and it&rsquo;s fun to think about,no,english,single
40.0,fit,other,2,0,62.0,-1.0,executive / management,2012-05-07-17-47,california,kid,straight,like_boths,christianity,f,,,english,single
29.0,average,halal,2,0,68.0,-1.0,law / legal services,2012-05-30-22-59,california,no_kids,straight,like_dogs,agnosticism,f,leo but it doesn&rsquo;t matter,no,"english, spanish (fluently)",single
54.0,fit,other,2,0,69.0,-1.0,education / academia,2012-06-20-20-55,other,no_kids,straight,like_boths,other,f,scorpio but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single
20.0,fit,other,2,0,63.0,-1.0,other,2012-06-26-02-13,california,no_kids,straight,like_dogs,christianity,f,,no,english,single
51.0,average,other,2,0,62.0,-1.0,other,2012-06-29-22-17,california,kid,straight,like_boths,christianity,f,virgo,,english,single
